nativePermissions	owner	group	size	lastModified	path	type						
-----------------	------	------	---------	--------------------	-----------------------------------------------------------------------------------------	----					forward	reverse
rw-r--r--	816290	803419	80945957	2025-05-15T23:33:54Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4490_S16_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4490_S16_L001_R1_001.fastq.gz	4490_S16_L001_R1_001.fastq.gz	4490_S16_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	89359467	2025-05-15T23:34:05Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4490_S16_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4490_S16_L001_R2_001.fastq.gz	4492_S1_L001_R1_001.fastq.gz	4492_S1_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	115666735	2025-05-15T23:34:25Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4492_S1_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4492_S1_L001_R1_001.fastq.gz	4505_S48_R1_001.fastq.gz	4505_S48_R2_001.fastq.gz
rw-r--r--	816290	803419	126763963	2025-05-15T23:34:41Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4492_S1_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4492_S1_L001_R2_001.fastq.gz	4518_S41_L001_R1_001.fastq.gz	4518_S41_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	47335488	2025-05-27T20:12:03Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4505_S48_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4505_S48_R1_001.fastq.gz	4538_S17_L001_R1_001.fastq.gz	4538_S17_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	45832989	2025-05-27T20:12:07Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4505_S48_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4505_S48_R2_001.fastq.gz	4539_S47_L001_R1_001.fastq.gz	4539_S47_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	132343086	2025-04-03T18:56:19Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4518_S41_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4518_S41_L001_R1_001.fastq.gz	4540_S19_L001_R1_001.fastq.gz	4540_S19_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	139414788	2025-04-03T18:56:29Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4518_S41_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4518_S41_L001_R2_001.fastq.gz	4543_S20_L001_R1_001.fastq.gz	4543_S20_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	105355931	2025-05-15T23:34:53Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4538_S17_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4538_S17_L001_R1_001.fastq.gz	4569_S20_L001_R1_001.fastq.gz	4569_S20_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	114067422	2025-05-15T23:35:03Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4538_S17_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4538_S17_L001_R2_001.fastq.gz	4573_S21_L001_R1_001.fastq.gz	4573_S21_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	55968266	2025-05-27T20:12:12Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4539_S47_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4539_S47_L001_R1_001.fastq.gz	4574_S2_L001_R1_001.fastq.gz	4574_S2_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	57339555	2025-05-27T20:12:16Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4539_S47_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4539_S47_L001_R2_001.fastq.gz	4575_S1_L001_R1_001.fastq.gz	4575_S1_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	82415257	2025-05-15T23:35:33Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4540_S19_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4540_S19_L001_R1_001.fastq.gz	4577_S19_L001_R1_001.fastq.gz	4577_S19_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	88905956	2025-05-15T23:35:44Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4540_S19_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4540_S19_L001_R2_001.fastq.gz	4578_S3_L001_R1_001.fastq.gz	4578_S3_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	102734581	2025-05-15T23:36:01Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4543_S20_L001_R1_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4543_S20_L001_R1_001.fastq.gz	4587_S42_L001_R1_001.fastq.gz	4587_S42_L001_R2_001.fastq.gz
rw-r--r--	816290	803419	115270239	2025-05-15T23:36:17Z	projects/c0aef9ef-362d-46fd-abba-39ac0945bd66/files/4543_S20_L001_R2_001.fastq.gz	file	projects	c0aef9ef-362d-46fd-abba-39ac0945bd66	files	4543_S20_L001_R2_001.fastq.gz	4592_S34_R1_001.fastq.gz	4592_S34_R2_001.fastq.gz
